"job_idLabel","movie_id","people_id"
"Actor",8393,55674
"Actor",8393,55675
"Actor",8393,16758
"Actor",8393,55676
"Actor",8393,55677
"Director",8393,55668
"Screenplay",8393,55668
"Actor",52366,10500
"Actor",52366,6012
"Actor",52366,23724
"Actor",52366,70168
"Actor",52366,146207
"Director",52366,20718
"Writer",52366,145854
"Writer",52366,20718
"Actor",50839,1979
"Actor",50839,6162
"Actor",50839,16940
"Actor",50839,17306
"Actor",50839,122888
"Director",50839,556172
"Screenplay",50839,556172
"Actor",238781,54675
"Actor",238781,77131
"Actor",238781,77860
"Actor",238781,4529
"Actor",238781,72254
"Director",238781,64205
"Writer",238781,64205
"Actor",335983,2524
"Actor",335983,1812
"Actor",335983,53240
"Actor",335983,87954
"Actor",335983,81316
"Screenplay",335983,3228
"Screenplay",335983,168309
"Director",335983,91268
"Screenplay",335983,940376
"Actor",483184,1699129
"Actor",483184,131630
"Actor",483184,132849
"Actor",483184,128456
"Actor",483184,1078993
"Director",483184,63973
"Screenplay",483184,72768
"Screenplay",483184,63973
"Screenplay",483184,78675
"Actor",345887,5292
"Actor",345887,1253360
"Actor",345887,1152019
"Actor",345887,863
"Actor",345887,8984
"Screenplay",345887,22814
"Director",345887,20907
"Actor",338189,16790
"Actor",338189,1925
"Actor",338189,136761
"Actor",338189,121529
"Actor",338189,8293
"Director",338189,143593
"Screenplay",338189,143593
"Writer",338189,1559679
"Actor",603,6384
"Actor",603,2975
"Actor",603,530
"Actor",603,1331
"Actor",603,532
"Director",603,9340
"Writer",603,9339
"Writer",603,9340
"Director",603,9339
"Actor",329865,9273
"Actor",329865,17604
"Actor",329865,2178
"Actor",329865,72873
"Actor",329865,21629
"Director",329865,137427
"Screenplay",329865,115033
"Actor",333339,1034681
"Actor",333339,1173984
"Actor",333339,77335
"Actor",333339,1059572
"Actor",333339,51990
"Director",333339,488
"Screenplay",333339,74624
"Screenplay",333339,11011
"Actor",400579,6885
"Actor",400579,1110405
"Actor",400579,17402
"Actor",400579,45407
"Actor",400579,1707144
"Director",400579,52443
"Writer",400579,52444
"Actor",2440,20738
"Actor",2440,25001
"Actor",2440,25002
"Actor",2440,25003
"Actor",2440,25004
"Director",2440,10099
"Screenplay",2440,24988
"Screenplay",2440,24989
"Screenplay",2440,10099
"Screenplay",2440,24991
"Screenplay",2440,24990
"Actor",336843,527393
"Actor",336843,115150
"Actor",336843,25663
"Actor",336843,1310760
"Actor",336843,973667
"Director",336843,1179066
"Screenplay",336843,1257144
"Actor",384680,3894
"Actor",384680,10882
"Actor",384680,15853
"Actor",384680,88124
"Actor",384680,33527
"Director",384680,65167
"Screenplay",384680,65167
"Actor",336804,1481832
"Actor",336804,1481833
"Actor",336804,1481834
"Actor",336804,1481835
"Actor",336804,1481836
"Director",336804,1128442
"Writer",336804,1128442
"Writer",336804,1051327
"Actor",152584,586757
"Actor",152584,121529
"Actor",152584,38865
"Actor",152584,15482
"Actor",152584,1029292
"Director",152584,17458
"Screenplay",152584,17458
"Screenplay",152584,1066722
"Actor",452187,6012
"Actor",452187,1171510
"Actor",452187,1841421
"Actor",452187,73726
"Actor",452187,238460
"Director",452187,2245
"Writer",452187,2245
"Actor",399035,3896
"Actor",399035,21657
"Actor",399035,17178
"Actor",399035,783
"Actor",399035,4783
"Director",399035,59521
"Writer",399035,1625285
"Writer",399035,1625287
"Writer",399035,1325800
"Actor",400617,11856
"Actor",400617,1080195
"Actor",400617,72305
"Actor",400617,38809
"Actor",400617,18022
"Director",400617,4762
"Writer",400617,4762
"Actor",396371,83002
"Actor",396371,17605
"Actor",396371,1269
"Actor",396371,39995
"Actor",396371,239271
"Director",396371,13520
"Writer",396371,13520
"Actor",300668,524
"Actor",300668,10431
"Actor",300668,180486
"Actor",300668,62561
"Actor",300668,67737
"Director",300668,2036
"Screenplay",300668,2036
"Actor",241554,3896
"Actor",241554,228
"Actor",241554,92404
"Actor",241554,467645
"Actor",241554,14888
"Director",241554,59521
"Writer",241554,932432
"Actor",2882,2405
"Actor",2882,19866
"Actor",2882,28675
"Actor",2882,28676
"Actor",2882,28677
"Director",2882,20718
"Screenplay",2882,20718
"Actor",12477,72413
"Actor",12477,72414
"Actor",12477,72415
"Actor",12477,72416
"Director",12477,628
"Screenplay",12477,628
"Actor",389015,234352
"Actor",389015,60898
"Actor",389015,19
"Actor",389015,86034
"Actor",389015,1294982
"Writer",389015,47283
"Director",389015,50767
"Actor",284053,74568
"Actor",284053,103
"Actor",284053,91606
"Actor",284053,112
"Actor",284053,62561
"Writer",284053,87173
"Writer",284053,109542
"Director",284053,55934
"Writer",284053,579281
"Actor",399055,39658
"Actor",399055,17005
"Actor",399055,335
"Actor",399055,28633
"Actor",399055,6944
"Screenplay",399055,176489
"Screenplay",399055,10828
"Director",399055,10828
"Actor",427348,5442
"Actor",427348,149223
"Actor",427348,1507097
"Actor",427348,1535315
"Actor",427348,82304
"Director",427348,52342
"Writer",427348,52342
"Writer",427348,1041712
"Actor",10220,1892
"Actor",10220,1241
"Actor",10220,15370
"Actor",10220,5725
"Actor",10220,819
"Director",10220,21053
"Screenplay",10220,16305
"Screenplay",10220,16304
"Actor",397538,87663
"Actor",397538,10959
"Actor",397538,1640
"Actor",397538,67737
"Actor",397538,1893608
"Screenplay",397538,1369026
"Director",397538,118606
"Actor",63311,3131
"Actor",63311,3623
"Actor",63311,954
"Actor",63311,440879
"Actor",63311,225017
"Director",63311,309
"Screenplay",63311,309
"Actor",181808,2
"Actor",181808,4
"Actor",181808,1023139
"Actor",181808,1315036
"Actor",181808,236695
"Director",181808,67367
"Screenplay",181808,67367
"Actor",14410,76821
"Actor",14410,15543
"Actor",14410,101519
"Actor",14410,53650
"Actor",14410,171941
"Director",14410,66121
"Screenplay",14410,71943
"Screenplay",14410,82153
"Actor",71157,13688
"Actor",71157,51508
"Actor",71157,76820
"Actor",71157,81054
"Actor",71157,64210
"Director",71157,64210
"Screenplay",71157,64210
"Screenplay",71157,25340
"Actor",432068,28281
"Actor",432068,54291
"Actor",432068,16922
"Actor",432068,992623
"Actor",432068,544681
"Director",432068,84425
"Director",432068,84426
"Writer",432068,84426
"Writer",432068,84425
"Actor",395991,16851
"Actor",395991,996701
"Actor",395991,1229
"Actor",395991,6161
"Actor",395991,18473
"Director",395991,86270
"Writer",395991,12783
"Screenplay",395991,1279644
"Actor",406997,1277188
"Actor",406997,887
"Actor",406997,1204
"Actor",406997,1457461
"Actor",406997,1652371
"Director",406997,19311
"Screenplay",406997,20647
"Screenplay",406997,19311
"Screenplay",406997,207132
"Actor",339877,1702761
"Actor",339877,230680
"Actor",339877,195930
"Actor",339877,36592
"Actor",339877,15737
"Director",339877,1003237
"Director",339877,1466181
"Writer",339877,1003237
"Writer",339877,1466181
"Writer",339877,1466182
"Actor",10673,6952
"Actor",10673,3392
"Actor",10673,8349
"Actor",10673,589
"Actor",10673,11885
"Director",10673,1152
"Writer",10673,1152
"Writer",10673,66189
"Actor",369192,54693
"Actor",369192,4495
"Actor",369192,127558
"Actor",369192,7404
"Actor",369192,8984
"Writer",369192,57631
"Director",369192,16959
"Director",369192,16960
"Actor",413778,144791
"Actor",413778,42741
"Actor",413778,267962
"Actor",413778,24501
"Actor",413778,1773489
"Director",413778,144791
"Director",413778,42741
"Screenplay",413778,42741
"Screenplay",413778,144791
"Actor",451945,66957
"Actor",451945,1795151
"Actor",451945,68816
"Actor",451945,1795152
"Actor",451945,1871353
"Director",451945,17387
"Screenplay",451945,17387
"Actor",379149,517
"Actor",379149,18897
"Actor",379149,107734
"Actor",379149,1267122
"Actor",379149,1356630
"Writer",379149,1567784
"Director",379149,10702
"Writer",379149,4946
"Screenplay",379149,21002
"Actor",335984,30614
"Actor",335984,3
"Actor",335984,224513
"Actor",335984,32
"Actor",335984,104632
"Director",335984,137427
"Screenplay",335984,583
"Screenplay",335984,191937
"Actor",18785,51329
"Actor",18785,27105
"Actor",18785,58225
"Actor",18785,21180
"Actor",18785,69122
"Screenplay",18785,52114
"Screenplay",18785,52115
"Director",18785,57130
"Actor",434616,1314700
"Actor",434616,1372661
"Actor",434616,1457707
"Actor",434616,1319210
"Actor",434616,1133065
"Director",434616,1562429
"Director",434616,1186858
"Writer",434616,1982416
"Writer",434616,1186858
"Actor",347031,17142
"Actor",347031,10980
"Actor",347031,17628
"Actor",347031,1367516
"Actor",347031,76624
"Director",347031,1383612
"Director",347031,1317730
"Writer",347031,1383612
"Writer",347031,1317730
"Actor",407201,17497
"Actor",407201,72255
"Actor",407201,59627
"Actor",407201,223532
"Actor",407201,1653041
"Screenplay",407201,109889
"Director",407201,109889
"Actor",21778,132542
"Actor",21778,76820
"Actor",21778,77930
"Actor",21778,35968
"Actor",21778,16922
"Director",21778,4275
"Writer",21778,132542
"Writer",21778,4275
"Writer",21778,76820
"Writer",21778,35968
"Writer",21778,16922
"Actor",585,1230
"Actor",585,7904
"Actor",585,884
"Actor",585,5563
"Actor",585,7906
"Screenplay",585,7
"Director",585,12890
"Screenplay",585,7884
"Actor",8424,19866
"Actor",8424,8293
"Actor",8424,55384
"Actor",8424,550027
"Actor",8424,55383
"Director",8424,55379
"Screenplay",8424,55379
"Screenplay",8424,55385
"Actor",134374,13240
"Actor",134374,18918
"Actor",134374,53650
"Actor",134374,4252
"Actor",134374,228
"Screenplay",134374,5551
"Screenplay",134374,5552
"Director",134374,865
"Actor",105,521
"Actor",105,1062
"Actor",105,1063
"Actor",105,1064
"Actor",105,1065
"Director",105,24
"Writer",105,24
"Writer",105,1058
"Actor",587,3061
"Actor",587,3926
"Actor",587,8289
"Actor",587,4431
"Actor",587,1283
"Director",587,510
"Screenplay",587,1300
"Actor",1422,6193
"Actor",1422,1892
"Actor",1422,514
"Actor",1422,13240
"Actor",1422,8349
"Director",1422,1032
"Screenplay",1422,34510
"Screenplay",1422,66718
"Screenplay",1422,66719
"Actor",318917,213581
"Actor",318917,17543
"Actor",318917,1874
"Actor",318917,5649
"Actor",318917,139525
"Director",318917,928146
"Writer",318917,928146
"Writer",318917,1488822
"Actor",65,325
"Actor",65,327
"Actor",65,328
"Actor",65,326
"Actor",65,335
"Director",65,323
"Author",65,324
"Actor",372058,225730
"Actor",372058,1369100
"Actor",372058,87637
"Actor",372058,91288
"Actor",372058,1668610
"Director",372058,74091
"Writer",372058,74091
"Actor",395834,17604
"Actor",395834,550843
"Actor",395834,84225
"Actor",395834,205976
"Actor",395834,19498
"Director",395834,1215399
"Writer",395834,1215399
"Actor",390497,75913
"Actor",390497,21688
"Actor",390497,77188
"Actor",390497,578838
"Actor",390497,939137
"Director",390497,1135240
"Writer",390497,1135240
"Actor",281338,1333
"Actor",281338,57755
"Actor",281338,18324
"Actor",281338,58395
"Actor",281338,236696
"Director",281338,32278
"Screenplay",281338,18189
"Screenplay",281338,32278
"Actor",335578,141876
"Actor",335578,1013156
"Actor",335578,34867
"Actor",335578,1037348
"Actor",335578,223477
"Director",335578,114540
"Writer",335578,114540
"Actor",273153,1121169
"Actor",273153,17522
"Actor",273153,49168
"Actor",273153,1164460
"Actor",273153,1132641
"Director",273153,73654
"Screenplay",273153,73654
"Screenplay",273153,1438572
"Actor",157350,94185
"Actor",157350,587020
"Actor",157350,204
"Actor",157350,996701
"Actor",157350,56614
"Director",157350,17329
"Screenplay",157350,176489
"Screenplay",157350,228135
"Actor",339403,1159982
"Actor",339403,1016168
"Actor",339403,1979
"Actor",339403,65717
"Actor",339403,134
"Writer",339403,11090
"Director",339403,11090
"Actor",10086,47820
"Actor",10086,63174
"Actor",10086,63175
"Actor",10086,63242
"Actor",10086,358432
"Director",10086,63174
"Screenplay",10086,63175
"Screenplay",10086,47820
"Screenplay",10086,45774
"Screenplay",10086,63174
"Director",10086,63175
"Director",10086,47820
"Actor",166426,85
"Actor",166426,1017347
"Actor",166426,115150
"Actor",166426,3810
"Actor",166426,118
"Screenplay",166426,2689
"Director",166426,20307
"Director",166426,20308
"Actor",49040,17604
"Actor",49040,3293
"Actor",49040,819
"Actor",49040,349
"Actor",49040,825
"Director",49040,19242
"Screenplay",49040,19242
"Screenplay",49040,57113
"Actor",11953,70131
"Actor",11953,70626
"Actor",11953,70133
"Actor",11953,7453
"Actor",11953,71027
"Director",11953,5026
"Screenplay",11953,5026
"Screenplay",11953,34372
"Actor",8367,1269
"Actor",8367,192
"Actor",8367,2224
"Actor",8367,1161
"Actor",8367,4566
"Director",8367,8300
"Screenplay",8367,2185
"Screenplay",8367,2182
"Actor",73211,1640
"Actor",73211,527696
"Actor",73211,7742
"Actor",73211,527698
"Actor",73211,570310
"Director",73211,7740
"Screenplay",73211,570309
"Screenplay",73211,109005
"Actor",1541,4038
"Actor",1541,16935
"Actor",1541,1037
"Actor",1541,147
"Actor",1541,4443
"Director",1541,578
"Screenplay",1541,17397
"Actor",8736,8293
