"movie_id","movie_releaseYear","movie_title","movie_voteAverage","movie_voteNb","movie_budget"
8393,1980,"The Gods Must Be Crazy",7.1,445,5000000
52366,1997,"Lucie Aubrac",6.3,22,0
50839,2011,"Margin Call",6.8,856,3500000
238781,2014,"24 Days",6.9,51,0
335983,2018,"Venom",6.6,6186,116000000
483184,2018,"Dogman",7.7,847,0
345887,2018,"The Equalizer 2",6.4,2081,62000000
338189,2016,"It's Only the End of the World",7.3,884,10000000
603,1999,"The Matrix",8.1,14381,63000000
329865,2016,"Arrival",7.4,10373,47000000
333339,2018,"Ready Player One",7.6,7006,175000000
400579,2018,"Tully",6.9,619,0
2440,2000,"Joint Security Area",7.7,223,0
336843,2018,"Maze Runner: The Death Cure",7.1,3888,62000000
384680,2017,"Hostiles",6.7,1052,55000000
336804,2015,"Mustang",8,752,1300000
152584,2013,"Blue Is the Warmest Color",7.1,2362,4300000
452187,2017,"Le Brio",7.2,454,0
399035,2018,"The Commuter",6.2,2392,30000000
400617,2017,"Phantom Thread",7.2,1614,35000000
396371,2017,"Molly's Game",7.1,1723,30000000
300668,2018,"Annihilation",6.3,4456,40000000
241554,2015,"Run All Night",6.4,1682,50000000
2882,2007,"Hunting and Gathering",6.6,225,0
12477,1988,"Grave of the Fireflies",8.4,2039,3700000
389015,2017,"I, Tonya",7.6,2892,11000000
284053,2017,"Thor: Ragnarok",7.5,11361,180000000
399055,2017,"The Shape of Water",7.2,7214,19500000
427348,2017,"Carbone",6.9,182,0
10220,1998,"Rounders",7,811,12000000
397538,2017,"Borg vs McEnroe",7.1,546,7500000
63311,2011,"The Skin I Live In",7.5,1500,13000000
181808,2017,"Star Wars: The Last Jedi",7,8527,200000000
14410,2009,"Notorious",6.7,289,0
71157,2011,"Polisse",7.8,668,0
432068,2017,"C'est la vie!",6.8,726,17200000
395991,2017,"Only the Brave",7,602,10000000
406997,2017,"Wonder",8.2,3946,20000000
339877,2017,"Loving Vincent",8.2,1197,5500000
10673,1987,"Wall Street",7.2,971,15000000
369192,2017,"Battle of the Sexes",6.9,1044,25000000
413778,2017,"Lost in Paris",6.2,47,0
451945,2017,"BPM (Beats per Minute)",7.9,755,6600000
379149,2017,"The Foreigner",6.7,1084,35000000
335984,2017,"Blade Runner 2049",7.4,6664,150000000
18785,2009,"The Hangover",7.3,10388,35000000
434616,2017,"Patients",7.5,387,0
347031,2016,"Swiss Army Man",6.9,1788,3000000
407201,2017,"Ceasefire",6.7,25,0
21778,2004,"RRRrrrr!!!",6.2,582,17820000
585,2001,"Monsters, Inc.",7.8,10778,115000000
8424,2003,"Love Me If You Dare",7.4,1068,0
134374,2013,"Pain & Gain",6.1,2492,25000000
105,1985,"Back to the Future",8.2,10931,19000000
