"people_id","people_name","people_birthday","people_deathday","people_gender"
55674,"N!xau",1944-12-16,2003-07-05,2
55675,"Michael Thys",NA,NA,0
16758,"Marius Weyers",1945-02-03,NA,2
55676,"Sandra Prinsloo",1947-09-15,NA,1
55677,"Louw Verwey",NA,NA,0
55668,"Jamie Uys",1921-05-30,1996-01-29,2
10500,"Carole Bouquet",1957-08-18,NA,1
6012,"Daniel Auteuil",1950-01-24,NA,2
23724,"Patrice Chéreau",1944-11-02,2013-10-07,2
70168,"Jean-Roger Milo",1957-06-05,NA,2
146207,"Eric Boucher",NA,NA,2
20718,"Claude Berri",1934-07-01,2009-01-12,2
145854,"Lucie Aubrac",NA,NA,0
1979,"Kevin Spacey",1959-07-26,NA,2
6162,"Paul Bettany",1971-05-27,NA,2
16940,"Jeremy Irons",1948-09-19,NA,2
17306,"Zachary Quinto",1977-06-02,NA,2
122888,"Ashley Williams",1978-11-12,NA,1
556172,"J. C. Chandor",1973-11-24,NA,2
54675,"Zabou Breitman",1959-10-30,NA,1
77131,"Pascal Elbé",1967-03-13,NA,2
77860,"Jacques Gamblin",1957-11-16,NA,2
4529,"Sylvie Testud",1971-01-17,NA,1
72254,"Éric Caravaca",1966-11-21,NA,2
64205,"Alexandre Arcady",1947-03-17,NA,2
2524,"Tom Hardy",1977-09-15,NA,2
1812,"Michelle Williams",1980-09-09,NA,1
53240,"Riz Ahmed",1982-12-01,NA,2
87954,"Scott Haze",NA,NA,2
81316,"Reid Scott",1977-11-19,NA,2
3228,"Scott Rosenberg",1963-04-24,NA,2
168309,"Jeff Pinkner",1964-11-16,NA,2
91268,"Ruben Fleischer",1974-10-31,NA,2
940376,"Kelly Marcel",1974-01-10,NA,1
1699129,"Marcello Fonte",1978-09-07,NA,2
131630,"Edoardo Pesce",1979-09-12,NA,2
132849,"Nunzia Schiano",1959-05-16,NA,1
128456,"Adamo Dionisi",1965-01-01,NA,2
1078993,"Francesco Acquaroli",NA,NA,2
63973,"Matteo Garrone",1968-10-15,NA,2
72768,"Ugo Chiti",1943-02-13,NA,2
78675,"Massimo Gaudioso",NA,NA,0
5292,"Denzel Washington",1954-12-28,NA,2
1253360,"Pedro Pascal",1975-04-02,NA,2
1152019,"Ashton Sanders",1995-10-24,NA,2
863,"Orson Bean",1928-07-22,NA,2
8984,"Bill Pullman",1953-12-17,NA,2
22814,"Richard Wenk",NA,NA,2
20907,"Antoine Fuqua",1966-01-19,NA,2
16790,"Gaspard Ulliel",1984-11-25,NA,2
1925,"Vincent Cassel",1966-11-23,NA,2
136761,"Nathalie Baye",1948-07-06,NA,1
121529,"Léa Seydoux",1985-07-01,NA,1
8293,"Marion Cotillard",1975-09-30,NA,1
143593,"Xavier Dolan",1989-03-20,NA,2
1559679,"Jean-Luc Lagarce",NA,NA,0
6384,"Keanu Reeves",1964-09-02,NA,2
2975,"Laurence Fishburne",1961-07-30,NA,2
530,"Carrie-Anne Moss",1967-08-21,NA,1
1331,"Hugo Weaving",1960-04-04,NA,2
532,"Joe Pantoliano",1951-09-12,NA,2
9340,"Lana Wachowski",1965-06-21,NA,1
9339,"Lilly Wachowski",1967-12-29,NA,1
9273,"Amy Adams",1974-08-20,NA,1
17604,"Jeremy Renner",1971-01-07,NA,2
2178,"Forest Whitaker",1961-07-15,NA,2
72873,"Michael Stuhlbarg",1968-07-05,NA,2
21629,"Tzi Ma",1962-06-10,NA,2
137427,"Denis Villeneuve",1967-10-03,NA,2
115033,"Eric Heisserer",1970-01-01,NA,2
1034681,"Tye Sheridan",1996-11-11,NA,2
1173984,"Olivia Cooke",1993-12-27,NA,1
77335,"Ben Mendelsohn",1969-04-03,NA,2
1059572,"Lena Waithe",1984-05-17,NA,1
51990,"T.J. Miller",1981-06-04,NA,2
488,"Steven Spielberg",1946-12-18,NA,2
74624,"Ernest Cline",1972-03-29,NA,2
11011,"Zak Penn",1968-01-01,NA,2
6885,"Charlize Theron",1975-08-07,NA,1
1110405,"Mackenzie Davis",1987-04-01,NA,1
17402,"Ron Livingston",1967-06-05,NA,2
45407,"Mark Duplass",1976-12-07,NA,2
1707144,"Asher Miles Fallica",NA,NA,2
52443,"Jason Reitman",1977-10-19,NA,2
52444,"Diablo Cody",1978-06-14,NA,1
20738,"Song Kang-ho",1967-01-17,NA,2
25001,"Lee Young-ae",1971-01-31,NA,1
25002,"Lee Byung-hun",1970-07-12,NA,2
25003,"Kim Tae-woo",1971-04-15,NA,2
25004,"Shin Ha-kyun",1974-05-30,NA,2
10099,"Park Chan-wook",1963-08-23,NA,2
24988,"Jeong Seong-san",NA,NA,0
24989,"Kim Hyun-suk",1972-06-07,NA,2
24991,"Park Sang-yeon",1972-06-13,NA,2
24990,"Lee Moo-young",1964-01-01,NA,2
527393,"Dylan O'Brien",1991-08-26,NA,2
115150,"Kaya Scodelario",1992-03-13,NA,1
25663,"Thomas Brodie-Sangster",1990-05-16,NA,2
1310760,"Ki Hong Lee",1986-09-30,NA,2
973667,"Rosa Salazar",1985-07-16,NA,1
1179066,"Wes Ball",1980-10-28,NA,2
1257144,"T.S. Nowlin",NA,NA,0
3894,"Christian Bale",1974-01-30,NA,2
10882,"Rosamund Pike",1979-01-27,NA,1
15853,"Wes Studi",1947-12-17,NA,2
88124,"Jesse Plemons",1988-04-02,NA,2
33527,"Adam Beach",1972-11-11,NA,2
65167,"Scott Cooper",1970-01-01,NA,2
1481832,"Günes Nezihe Sensoy",NA,NA,1
1481833,"Doga Zeynep Doguslu",NA,NA,0
1481834,"Elit Iscan",NA,NA,0
1481835,"Tugba Sunguroglu",NA,NA,0
1481836,"Ilayda Akdogan",NA,NA,1
1128442,"Deniz Gamze Ergüven",1978-06-04,NA,1
1051327,"Alice Winocour",NA,NA,1
586757,"Adèle Exarchopoulos",1993-11-22,NA,1
38865,"Salim Kechiouche",1979-04-02,NA,2
15482,"Aurélien Recoing",1958-05-05,NA,2
1029292,"Catherine Salée",NA,NA,0
17458,"Abdellatif Kechiche",1960-12-07,NA,2
1066722,"Ghalia Lacroix",NA,NA,1
1171510,"Camélia Jordana",1992-09-15,NA,1
1841421,"Yasin Houicha",NA,NA,0
73726,"Nozha Khouadra",NA,NA,0
238460,"Nicolas Vaude",1962-07-24,NA,2
2245,"Yvan Attal",1965-01-04,NA,2
3896,"Liam Neeson",1952-06-07,NA,2
21657,"Vera Farmiga",1973-08-06,NA,1
17178,"Patrick Wilson",1973-07-03,NA,2
783,"Jonathan Banks",1947-01-31,NA,2
4783,"Sam Neill",1947-09-14,NA,2
59521,"Jaume Collet-Serra",1974-03-23,NA,2
1625285,"Byron Willinger",NA,NA,2
1625287,"Philip de Blasi",NA,NA,0
1325800,"Ryan Engle",NA,NA,0
11856,"Daniel Day-Lewis",1957-04-29,NA,2
1080195,"Vicky Krieps",1983-10-04,NA,1
72305,"Lesley Manville",1956-03-12,NA,1
38809,"Camilla Rutherford",1976-09-20,NA,1
18022,"Gina McKee",1964-04-14,NA,1
4762,"Paul Thomas Anderson",1970-06-26,NA,2
83002,"Jessica Chastain",1977-03-24,NA,1
17605,"Idris Elba",1972-09-06,NA,2
1269,"Kevin Costner",1955-01-18,NA,2
39995,"Michael Cera",1988-06-07,NA,2
239271,"Jeremy Strong",1978-12-25,NA,2
13520,"Aaron Sorkin",1961-06-09,NA,2
524,"Natalie Portman",1981-06-09,NA,1
10431,"Jennifer Jason Leigh",1962-02-05,NA,1
180486,"Gina Rodriguez",1984-07-30,NA,1
62561,"Tessa Thompson",1983-10-03,NA,1
67737,"Tuva Novotny",1979-12-21,NA,1
2036,"Alex Garland",1970-05-26,NA,2
228,"Ed Harris",1950-11-28,NA,2
92404,"Joel Kinnaman",1979-11-25,NA,2
467645,"Boyd Holbrook",1981-09-01,NA,2
14888,"Bruce McGill",1950-07-11,NA,2
932432,"Brad Ingelsby",1980-01-04,NA,2
2405,"Audrey Tautou",1976-08-09,NA,1
19866,"Guillaume Canet",1973-04-10,NA,2
28675,"Laurent Stocker",1973-05-23,NA,2
