"productionCompagny_id","productionCompagny_label"
22284,"CAT Films"
22285,"Mimosa Films"
6541,"D.A. Films"
6542,"Pricel"
46225,"Untitled Entertainment"
14861,"Before the Door Pictures"
6692,"Benaroya Pictures"
14862,"Washington Square Films"
2926,"Alexandre Films"
6539,"New Light Films"
31828,"Avi Arad Productions"
53462,"Matt Tolmach Productions"
84041,"Pascal Pictures"
7505,"Marvel Entertainment"
81620,"Tencent Pictures"
2683,"Rai Cinema"
53334,"Archimede"
5125,"Le Pacte"
18973,"01 Distribution"
2767,"Mace Neufeld Productions"
5,"Columbia Pictures"
41096,"Lonetree Entertainment"
8151,"Fuqua Films"
1423,"Escape Artists"
34,"Sony Pictures"
44967,"ZHIV Productions"
806,"Téléfilm Canada"
50488,"Sons of Manual"
6274,"MK2 Productions"
79,"Village Roadshow Pictures"
372,"Groucho II Film Partnership"
1885,"Silver Pictures"
174,"Warner Bros. Pictures"
2575,"21 Laps Entertainment"
7493,"FilmNation Entertainment"
32300,"Lava Bear Films"
7294,"Reliance Entertainment"
88466,"Xenolinguistics"
56,"Amblin Entertainment"
2609,"De Line Pictures"
444,"Dune Entertainment"
11249,"Farah Films & Management"
13240,"Bron Studios"
32157,"Right of Way Films"
3574,"Denver and Delilah Productions"
93519,"West Egg Studios"
53152,"Creative Wealth Media Finance"
7036,"CJ Entertainment"
709,"Intz.com"
710,"KTB Network"
21415,"Myung Films"
3672,"Gotham Group"
12292,"Temple Hill Entertainment"
25,"20th Century Fox"
97584,"Entertainment Studios Motion Pictures"
22842,"Waypoint Entertainment"
47169,"Le Grisbi Productions"
51696,"CG Cinéma"
72918,"Vistamar Filmproduktion"
72919,"Uhlandfilm"
72920,"Bam Film"
18626,"Kinology"
10611,"Ciné+"
11237,"ZDF/Arte"
72921,"Turkish Culture Ministry"
22627,"Film- und Medienstiftung NRW"
8152,"Doha Film Institute"
310,"Centre National de la Cinématographie"
104,"Canal+"
2026,"FFA"
850,"Eurimages"
856,"Wild Bunch"
10393,"Vertigo Films"
11199,"SCOPE Pictures"
11434,"Région Nord-Pas-de-Calais"
14700,"Quat'sous Films"
38038,"Pictanovo Nord-Pas-de-Calais"
83,"France 2 Cinéma"
11359,"France 2 (FR2)"
792,"Radio Télévision Belge Francophone"
7131,"France Télévisions"
11796,"Centre du Cinéma et de l'Audiovisuel de la Fédération Wallonie-Bruxelles"
25308,"Alcatraz Films"
58566,"Moonshaker"
20339,"Chapter 2"
694,"StudioCanal"
23513,"Ombra Films"
356,"TF1 Films Production"
99132,"The Picture Company"
104931,"Amazon Prime Video"
178,"Ghoulardi Film Company"
10146,"Focus Features"
13184,"Annapurna Pictures"
10338,"Perfect World Pictures"
1557,"The Mark Gordon Company"
8147,"Entertainment One"
47729,"STX Entertainment"
78996,"Huayi Brothers Pictures"
284,"DNA Films"
4,"Paramount"
258,"Scott Rudin Productions"
82819,"Skydance Media"
59811,"Netflix"
41624,"RatPac-Dune Entertainment"
829,"Vertigo Entertainment"
18617,"Energy Entertainment"
3012,"Pathé Distribution"
10342,"Studio Ghibli"
19176,"Clubhouse Pictures"
82968,"LuckyChap Entertainment"
420,"Marvel Studios"
2,"Walt Disney Pictures"
101082,"Double Dare You Productions"
43,"Fox Searchlight Pictures"
81023,"Bull Productions"
22213,"TSG Entertainment"
3092,"Les Films Manuel Munz"
6896,"EuropaCorp"
7561,"Nexus Factory"
1566,"Spanky Pictures"
14,"Miramax"
235,"Nordisk Film"
2396,"Finnish Film Foundation"
66903,"Yellow Film & TV"
12985,"SF Studio"
118,"Det Danske Filminstitut"
2302,"Svenska Filminstitutet"
2999,"SVT"
2801,"Film i Väst"
49,"El Deseo"
9335,"Canal+ España"
9974,"Instituto de la Cinematografía y de las Artes Audiovisuales"
11427,"Instituto de Crédito Oficial (ICO)"
11898,"Blue Haze Entertainment"
981,"Televisión Española"
1,"Lucasfilm"
11092,"Ram Bergman Productions"
81306,"Formula Film"
112051,"Truenorth Productions"
112052,"Jucumari Films"
2612,"Les Productions du Trésor"
5236,"Mars Films"
7766,"Chaocorp"
7767,"Shortcom"
9,"Gaumont"
59489,"Quad Films"
435,"Di Bonaventura Pictures"
33681,"Black Label Media"
51513,"Condé Nast Entertainment"
1632,"Lionsgate"
6735,"Participant Media"
10221,"Walden Media"
10227,"Mandeville Films"
6550,"Breakthru Films"
22153,"Trademark Films"
96220,"Centrum Technologii Audiowizualnych"
11240,"Polski Instytut Sztuki Filmowej"
71114,"Odra Film"
8286,"Decibel Films"
6707,"Cloud Eight Films"
93132,"Courage Mon Amour"
6960,"Moteur s'il vous plaît"
591,"France 3 Cinéma"
